,Title,Director,Main Genres,Motion Picture Rating,Rating (Out of 10),Release Year
220,The Father,Florian Zeller,"Drama,Mystery",PG-13,8.2,2020.0
227,You Should Have Left,David Koepp,"Horror,Thriller",R,5.4,2020.0
240,Nomadland,Chloé Zhao,Drama,R,7.3,2020.0
246,Pieces of a Woman,Kornél Mundruczó,Drama,R,7.0,2020.0
299,Birds of Prey,Cathy Yan,"Action,Comedy,Crime",R,6.1,2020.0
394,Soul,"Pete Docter,Kemp Powers","Animation,Adventure,Comedy",PG,8.0,2020.0
401,Wonder Woman 1984,Patty Jenkins,"Action,Adventure,Fantasy",PG-13,5.4,2020.0
463,Greyhound,Aaron Schneider,"Action,Drama,History",PG-13,7.0,2020.0
493,The Christmas Chronicles: Part Two,Chris Columbus,"Adventure,Comedy,Family",PG,6.0,2020.0
520,The Devil All the Time,Antonio Campos,"Crime,Drama,Thriller",R,7.1,2020.0
544,Run Hide Fight,Kyle Rankin,"Action,Crime,Drama",TV-MA,6.3,2020.0
576,Emma.,Autumn de Wilde,"Comedy,Drama,Romance",PG,6.7,2020.0
580,Enola Holmes,Harry Bradbeer,"Action,Adventure,Crime",PG-13,6.6,2020.0
598,Extraction,Sam Hargrave,"Action,Thriller",R,6.8,2020.0
612,The Courier,Dominic Cooke,"Drama,History,Mystery",PG-13,7.2,2020.0
628,Unhinged,Derrick Borte,"Action,Thriller",R,6.0,2020.0
644,Monster Hunter,Paul W.S. Anderson,"Action,Adventure,Fantasy",PG-13,5.2,2020.0
652,I'm Thinking of Ending Things,Charlie Kaufman,"Drama,Thriller",R,6.6,2020.0
744,The Hunt,Craig Zobel,"Action,Horror,Thriller",R,6.5,2020.0
750,Another Round,Thomas Vinterberg,Drama,Not Rated,7.7,2020.0
776,After We Collided,Roger Kumble,"Drama,Romance",R,5.0,2020.0
839,Sonic the Hedgehog,Jeff Fowler,"Action,Adventure,Comedy",PG,6.5,2020.0
858,The Old Guard,Gina Prince-Bythewood,"Action,Thriller",R,6.7,2020.0
870,Happiest Season,Clea DuVall,"Comedy,Romance",PG-13,6.6,2020.0
926,A Quiet Place Part II,John Krasinski,"Drama,Horror,Sci-Fi",PG-13,7.2,2020.0
928,Run,Aneesh Chaganty,"Mystery,Thriller",PG-13,6.7,2020.0
1089,Mulan,Niki Caro,"Action,Adventure,Drama",PG-13,5.8,2020.0
1382,The Witches,Robert Zemeckis,"Adventure,Comedy,Family",PG,5.4,2020.0
1404,The Empty Man,David Prior,"Drama,Horror,Mystery",R,6.2,2020.0
1457,I Care a Lot,J Blakeson,"Comedy,Crime,Drama",R,6.4,2020.0
1463,Minari,Lee Isaac Chung,Drama,PG-13,7.4,2020.0
1486,Palm Springs,Max Barbakow,"Comedy,Fantasy,Mystery",R,7.4,2020.0
1490,The World to Come,Mona Fastvold,"Drama,History,Western",R,6.4,2020.0
1494,Ava,Tate Taylor,"Action,Drama,Thriller",R,5.4,2020.0
1501,Freaky,Christopher Landon,"Comedy,Horror,Thriller",R,6.3,2020.0
1550,Greenland,Ric Roman Waugh,"Action,Thriller",PG-13,6.4,2020.0
1554,Shiva Baby,Emma Seligman,"Comedy,Drama",Not Rated,7.1,2020.0
1605,The Forgotten Battle,Matthijs van Heijningen Jr.,"Drama,War",TV-MA,7.1,2020.0
1637,The Trial of the Chicago 7,Aaron Sorkin,"Drama,History,Thriller",R,7.7,2020.0
1708,Ammonite,Francis Lee,"Biography,Drama,History",R,6.5,2020.0
1836,Promising Young Woman,Emerald Fennell,"Crime,Drama,Mystery",R,7.5,2020.0
1899,Eurovision Song Contest: The Story of Fire Saga,David Dobkin,"Comedy,Music",PG-13,6.5,2020.0
1911,Love and Monsters,Michael Matthews,"Action,Adventure,Comedy",PG-13,6.9,2020.0
1950,Underwater,William Eubank,"Action,Horror,Sci-Fi",PG-13,5.9,2020.0
1976,Fatman,"Eshom Nelms,Ian Nelms","Action,Adventure,Comedy",R,5.9,2020.0
2015,Becky,"Jonathan Milott,Cary Murnion","Action,Crime,Drama",R,6.0,2020.0
2048,Alone,John Hyams,"Drama,Horror,Mystery",R,6.2,2020.0
2086,The Nest,Sean Durkin,"Drama,Romance,Thriller",R,6.3,2020.0
2136,Jingle Jangle: A Christmas Journey,David E. Talbert,"Family,Fantasy,Musical",PG,6.5,2020.0
2143,Think Like a Dog,Gil Junger,"Comedy,Drama,Family",PG,5.2,2020.0
2221,The Call of the Wild,Chris Sanders,"Adventure,Drama,Family",PG,6.7,2020.0
2281,Borat Subsequent Moviefilm,Jason Woliner,Comedy,R,6.6,2020.0
2337,Tenet,Christopher Nolan,"Action,Sci-Fi,Thriller",PG-13,7.3,2020.0
2410,Bad Boys for Life,"Adil El Arbi,Bilall Fallah","Action,Comedy,Crime",R,6.5,2020.0
2433,The New Mutants,Josh Boone,"Action,Horror,Mystery",PG-13,5.3,2020.0
2434,Onward,Dan Scanlon,"Animation,Action,Adventure",PG,7.4,2020.0
2487,The Call,Chung-Hyun Lee,"Crime,Horror,Mystery",TV-MA,7.1,2020.0
2498,The Babysitter: Killer Queen,McG,"Comedy,Horror",TV-MA,5.8,2020.0
2545,The Night House,David Bruckner,"Horror,Mystery,Thriller",R,6.5,2020.0
2566,Possessor,Brandon Cronenberg,"Horror,Mystery,Sci-Fi",R,6.5,2020.0
2677,A California Christmas,Shaun Paul Piccinino,"Comedy,Drama,Romance",PG-13,5.8,2020.0
2690,Spenser Confidential,Peter Berg,"Action,Comedy,Crime",R,6.2,2020.0
2700,Rebecca,Ben Wheatley,"Drama,Mystery,Romance",PG-13,6.0,2020.0
2719,The Midnight Sky,George Clooney,"Adventure,Drama,Sci-Fi",PG-13,5.7,2020.0
2730,The King of Staten Island,Judd Apatow,"Comedy,Drama",R,7.1,2020.0
2796,Let Him Go,Thomas Bezucha,"Crime,Drama,Thriller",R,6.7,2020.0
2864,Host,Rob Savage,"Horror,Mystery",Not Rated,6.5,2020.0
2882,News of the World,Paul Greengrass,"Action,Adventure,Drama",PG-13,6.8,2020.0
2895,Trolls World Tour,"Walt Dohrn,David P. Smith","Animation,Adventure,Comedy",PG,6.1,2020.0
2917,A Nice Girl Like You,"Nick Riedell,Chris Riedell","Comedy,Romance",R,5.1,2020.0
2952,Boss Level,Joe Carnahan,"Action,Adventure,Comedy",TV-MA,6.8,2020.0
3046,Simple Passion,Danielle Arbid,"Drama,Romance",Unrated,5.5,2020.0
3067,The Banker,George Nolfi,"Biography,Drama",PG-13,7.3,2020.0
3079,Project Power,"Ariel Schulman,Henry Joost","Action,Crime,Sci-Fi",R,6.0,2020.0
3150,The Wrong Missy,Tyler Spindel,"Comedy,Romance",TV-MA,5.7,2020.0
3187,All the Bright Places,Brett Haley,"Drama,Romance",TV-MA,6.6,2020.0
3196,The Silencing,Robin Pront,"Action,Crime,Mystery",R,6.2,2020.0
