,Title,Director,Main Genres,Motion Picture Rating,Rating (Out of 10),Release Year
23,Scott Pilgrim vs. the World,Edgar Wright,"Action,Comedy,Fantasy",PG-13,7.5,2010.0
137,Tangled,"Byron Howard,Nathan Greno","Animation,Adventure,Comedy",PG,7.7,2010.0
144,Insidious,James Wan,"Horror,Mystery,Thriller",PG-13,6.8,2010.0
148,The Town,Ben Affleck,"Crime,Drama,Thriller",R,7.5,2010.0
152,Diary of a Wimpy Kid,Thor Freudenthal,"Comedy,Drama,Family",PG,6.2,2010.0
157,TRON: Legacy,Joseph Kosinski,"Action,Adventure,Sci-Fi",PG,6.8,2010.0
194,Alice in Wonderland,Tim Burton,"Adventure,Family,Fantasy",PG,6.4,2010.0
231,The Karate Kid,Harald Zwart,"Action,Drama,Family",PG,6.2,2010.0
251,Incendies,Denis Villeneuve,"Drama,Mystery,War",R,8.3,2010.0
280,How to Train Your Dragon,"Chris Sanders,Dean DeBlois","Animation,Action,Adventure",PG,8.1,2010.0
337,Winter's Bone,Debra Granik,"Drama,Mystery",R,7.1,2010.0
421,The Other Guys,Adam McKay,"Action,Comedy,Crime",PG-13,6.6,2010.0
427,RED,Robert Schwentke,"Action,Comedy,Crime",PG-13,7.0,2010.0
483,The Next Three Days,Paul Haggis,"Action,Crime,Drama",PG-13,7.3,2010.0
513,Blue Valentine,Derek Cianfrance,"Drama,Romance",R,7.3,2010.0
631,Despicable Me,"Chris Renaud,Pierre Coffin","Animation,Adventure,Comedy",PG,7.6,2010.0
648,The Expendables,Sylvester Stallone,"Action,Adventure,Thriller",R,6.4,2010.0
731,Inception,Christopher Nolan,"Action,Adventure,Sci-Fi",PG-13,8.8,2010.0
753,Toy Story 3,Lee Unkrich,"Animation,Adventure,Comedy",G,8.3,2010.0
765,Hot Tub Time Machine,Steve Pink,"Comedy,Sci-Fi",R,6.4,2010.0
788,Predators,Nimród Antal,"Action,Adventure,Fantasy",R,6.4,2010.0
805,Easy A,Will Gluck,"Comedy,Drama,Romance",PG-13,7.0,2010.0
843,Monsters,Gareth Edwards,"Adventure,Drama,Romance",R,6.4,2010.0
876,Kick-Ass,Matthew Vaughn,"Action,Comedy,Crime",R,7.6,2010.0
895,Iron Man 2,Jon Favreau,"Action,Sci-Fi",PG-13,6.9,2010.0
965,True Grit,"Joel Coen,Ethan Coen","Drama,Western",PG-13,7.6,2010.0
970,She's Out of My League,Jim Field Smith,"Comedy,Romance",R,6.4,2010.0
982,I Saw the Devil,Jee-woon Kim,"Action,Crime,Thriller",Not Rated,7.8,2010.0
1044,The King's Speech,Tom Hooper,"Biography,Drama,History",R,8.0,2010.0
1075,Rabbit Hole,John Cameron Mitchell,Drama,PG-13,7.0,2010.0
1105,Piranha 3D,Alexandre Aja,"Comedy,Horror",R,5.5,2010.0
1232,The Twilight Saga: Eclipse,David Slade,"Action,Adventure,Drama",PG-13,5.1,2010.0
1295,The Wolfman,Joe Johnston,"Drama,Fantasy,Horror",R,5.8,2010.0
1340,Clash of the Titans,Louis Leterrier,"Action,Adventure,Fantasy",PG-13,5.8,2010.0
1365,Room in Rome,Julio Medem,"Drama,Romance",Not Rated,6.1,2010.0
1372,Megamind,Tom McGrath,"Animation,Action,Comedy",PG,7.3,2010.0
1410,The Fighter,David O. Russell,"Action,Biography,Drama",R,7.8,2010.0
1485,Never Let Me Go,Mark Romanek,"Drama,Romance,Sci-Fi",R,7.1,2010.0
1707,Knight and Day,James Mangold,"Action,Adventure,Comedy",PG-13,6.3,2010.0
1719,Saw 3D,Kevin Greutert,"Horror,Mystery",R,5.5,2010.0
1888,Prince of Persia: The Sands of Time,Mike Newell,"Action,Adventure,Fantasy",PG-13,6.6,2010.0
1917,The Book of Eli,"Allen Hughes,Albert Hughes","Action,Adventure,Drama",R,6.8,2010.0
1953,Tucker and Dale vs Evil,Eli Craig,"Comedy,Horror",R,7.5,2010.0
1958,Boy,Taika Waititi,"Comedy,Drama",Not Rated,7.5,2010.0
1964,Unstoppable,Tony Scott,"Action,Thriller",PG-13,6.8,2010.0
2119,The American,Anton Corbijn,"Action,Crime,Drama",R,6.3,2010.0
2126,Salt,Phillip Noyce,"Action,Thriller",PG-13,6.4,2010.0
2129,The A-Team,Joe Carnahan,"Action,Adventure,Crime",PG-13,6.7,2010.0
2189,The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,"Adventure,Family,Fantasy",PG,6.3,2010.0
2204,Machete,"Ethan Maniquis,Robert Rodriguez","Action,Crime,Thriller",R,6.6,2010.0
2298,127 Hours,Danny Boyle,"Biography,Drama",R,7.5,2010.0
2356,The Social Network,David Fincher,"Biography,Drama",PG-13,7.8,2010.0
2369,Shutter Island,Martin Scorsese,"Mystery,Thriller",R,8.2,2010.0
2425,Flipped,Rob Reiner,"Comedy,Drama,Romance",PG,7.7,2010.0
2544,The Way,Emilio Estevez,"Comedy,Drama",PG-13,7.3,2010.0
